country_name,country_text_id,COWcode,year,v2x_partipdem,pred,residual
Ukraine,UKR,369,2018,0.274,0.3236611499190183,-0.049661149919018266
Uganda,UGA,500,2018,0.211,0.2582928338472792,-0.0472928338472792
Montenegro,MNE,341,2018,0.312,0.3587273189770485,-0.046727318977048515
Haiti,HTI,41,2018,0.256,0.30080260013576976,-0.044802600135769755
Türkiye,TUR,640,2018,0.196,0.23599776787183194,-0.03999776787183193
Rwanda,RWA,517,2018,0.196,0.23599776787183194,-0.03999776787183193
Togo,TGO,461,2018,0.199,0.23599776787183194,-0.03699776787183193
Colombia,COL,100,2018,0.471,0.5007145717180019,-0.02971457171800196
Honduras,HND,91,2018,0.245,0.2602592846018705,-0.015259284601870482
Armenia,ARM,371,2018,0.341,0.3531375022863259,-0.012137502286325874
Albania,ALB,339,2018,0.316,0.3275058031844107,-0.01150580318441069
Mauritania,MRT,435,2018,0.216,0.2224289569365684,-0.006428956936568392
Guinea,GIN,438,2018,0.238,0.23599776787183194,0.002002232128168052
Guatemala,GTM,90,2018,0.345,0.34154791282322,0.003452087176779972
Bolivia,BOL,145,2018,0.44,0.4362753521770322,0.003724647822967775
Lebanon,LBN,660,2018,0.239,0.22839020971308951,0.010609790286910475
Iraq,IRQ,645,2018,0.264,0.2523528513023928,0.01164714869760719
Kuwait,KWT,690,2018,0.093,0.07982724171598038,0.01317275828401962
North Macedonia,MKD,343,2018,0.394,0.3800481370502736,0.01395186294972639
The Gambia,GMB,420,2018,0.345,0.3226108331709133,0.02238916682908665
Pakistan,PAK,770,2018,0.255,0.22839020971308951,0.02660979028691049
Paraguay,PRY,150,2018,0.361,0.33363717225213196,0.027362827747868024
Tanzania,TZA,510,2018,0.259,0.22839020971308951,0.030609790286910493
Gabon,GAB,481,2018,0.265,0.23170801605483154,0.03329198394516847
Bhutan,BTN,760,2018,0.365,0.3298515883867434,0.0351484116132566
Guinea-Bissau,GNB,404,2018,0.233,0.1955450358045438,0.037454964195456214
Madagascar,MDG,580,2018,0.297,0.25560063680028056,0.04139936319971943
Malaysia,MYS,820,2018,0.279,0.22362509746080947,0.05537490253919056
Ghana,GHA,452,2018,0.378,0.3222932139339415,0.0557067860660585
India,IND,750,2018,0.296,0.23975036307160524,0.05624963692839474
Ivory Coast,CIV,437,2018,0.364,0.3065015266544901,0.05749847334550989
Hungary,HUN,310,2018,0.326,0.26839490288268103,0.05760509711731898
Mongolia,MNG,712,2018,0.359,0.2997038347137874,0.059296165286212565
Burma/Myanmar,MMR,775,2018,0.244,0.18451028787459492,0.059489712125405075
Kosovo,XKX,347,2018,0.395,0.3257888204189004,0.06921117958109962
Philippines,PHL,840,2018,0.306,0.23599776787183194,0.07000223212816806
Georgia,GEO,372,2018,0.431,0.3587268035048904,0.0722731964951096
Bosnia and Herzegovina,BIH,346,2018,0.297,0.22404859922853698,0.072951400771463
Niger,NER,436,2018,0.31,0.23599776787183194,0.07400223212816806
Mali,MLI,432,2018,0.31,0.22839020971308951,0.08160979028691048
Benin,BEN,434,2018,0.393,0.3096944444242798,0.08330555557572022
Barbados,BRB,53,2018,0.337,0.25288957887575225,0.08411042112424777
Burkina Faso,BFA,439,2018,0.401,0.31456812461040556,0.08643187538959446
Indonesia,IDN,850,2018,0.401,0.31220478781439254,0.08879521218560749
Dominican Republic,DOM,42,2018,0.36,0.2710870999296797,0.08891290007032027
Nepal,NPL,790,2018,0.422,0.33174201052048236,0.09025798947951763
Moldova,MDA,359,2018,0.328,0.23599776787183194,0.09200223212816808
Malawi,MWI,553,2018,0.337,0.24199850929357722,0.0950014907064228
Nigeria,NGA,475,2018,0.372,0.2722518837092905,0.09974811629070951
Liberia,LBR,450,2018,0.339,0.23599776787183194,0.10300223212816809
Kenya,KEN,501,2018,0.343,0.23599776787183194,0.10700223212816809
Guyana,GUY,110,2018,0.407,0.29636012745403256,0.11063987254596741
Sierra Leone,SLE,451,2018,0.367,0.25560063680028056,0.11139936319971944
Cape Verde,CPV,402,2018,0.468,0.3550508765731324,0.11294912342686764
Solomon Islands,SLB,940,2018,0.369,0.25387453413743327,0.11512546586256672
Panama,PAN,95,2018,0.442,0.3140176077612009,0.1279823922387991
Poland,POL,290,2018,0.457,0.32714172837350425,0.12985827162649577
